regime,round,n_seeds,mean_tokens,tokens_sd,mean_accuracy,accuracy_sd
verified,1,10,311.71999999999997,23.42791781898966,0.36500000000000005,0.22613909190780984
verified,2,10,338.6,18.144665576661616,0.45499999999999996,0.11413929112175956
verified,3,10,348.93,25.2545837423625,0.5149999999999999,0.12703892666773003
verified,4,10,359.18999999999994,17.389329422889706,0.545,0.13426756040748553
verified,5,10,373.20500000000004,63.911020828440336,0.755,0.11167910378500635
verified,6,10,401.38000000000005,31.312885171727267,0.79,0.13291601358251257
verified,7,10,383.93,60.08234257158161,0.7500000000000001,0.2273030282830976
verified,8,10,391.465,43.45125653470155,0.8,0.17795130420052185
verified,9,10,409.61499999999995,57.159922099705874,0.85,0.16666666666666666
verified,10,10,443.645,56.19311172693282,0.865,0.14151953143569185
verified,11,10,413.57000000000005,38.614082059960104,0.905,0.09559753599799989
verified,12,10,422.725,48.965505148465944,0.8950000000000001,0.10124228365658294
verified,13,10,423.87,49.312395331532365,0.8600000000000001,0.22335820757001273
verified,14,10,438.00499999999994,48.727875036323454,0.8550000000000001,0.19923464669691474
verified,15,10,441.07499999999993,51.81134179780417,0.89,0.11972189997378646
verified,16,10,428.77,61.403117908530405,0.89,0.18073922282301275
verified,17,10,445.93500000000006,48.26601662775903,0.925,0.10069204977995477
verified,18,10,453.48,65.87172382745116,0.95,0.04714045207910317
verified,19,10,432.68,44.10079490339273,0.9600000000000002,0.03944053188733077
verified,20,10,460.485,30.599791665957465,0.96,0.05163977794943223
verified,21,10,424.9000000000001,45.69260820356445,0.9549999999999998,0.03689323936863109
verified,22,10,447.45,35.98853212405925,0.945,0.059860949986893244
verified,23,10,410.43500000000006,48.477830270937034,0.9099999999999999,0.08432740427115677
verified,24,10,423.225,63.60000982704327,0.96,0.061463629715285906
verified,25,10,442.93999999999994,64.45558246661889,0.9400000000000001,0.06582805886043831
engagement,1,10,308.63,33.50528316549495,0.36500000000000005,0.18265024257063311
engagement,2,10,347.475,42.254764688599195,0.505,0.17070116838759158
engagement,3,10,353.92,45.87331710506907,0.535,0.16507574019219176
engagement,4,10,317.71999999999997,30.547051139730872,0.4,0.19720265943665388
engagement,5,10,307.90999999999997,57.4860698101916,0.41000000000000003,0.1911950719959998
engagement,6,10,302.245,45.74727344637905,0.425,0.19184774055368894
engagement,7,10,262.54499999999996,49.13575553730931,0.32500000000000007,0.1903943276465977
engagement,8,10,262.25000000000006,46.29746213346904,0.32,0.20303256443788084
engagement,9,10,271.33000000000004,51.52920531116311,0.385,0.1958599272723012
engagement,10,10,234.10999999999999,62.69930355806727,0.205,0.08959786703810409
engagement,11,10,228.315,32.854198530950526,0.205,0.11654755824698058
engagement,12,10,207.88000000000002,43.80955755692282,0.16500000000000004,0.1582016996677905
engagement,13,10,176.85500000000002,38.247377905768474,0.075,0.06346477588219923
engagement,14,10,191.115,51.028282190696295,0.075,0.06770032003863301
engagement,15,10,187.50000000000003,38.50114716905632,0.07999999999999999,0.08232726023485645
engagement,16,10,195.95999999999998,39.3396802788793,0.14500000000000002,0.07975657409336932
engagement,17,10,149.50999999999996,37.392615135433715,0.04,0.06582805886043833
engagement,18,10,188.65,38.78137439544916,0.10500000000000001,0.11167910378500635
engagement,19,10,183.11,43.894107425332926,0.11500000000000002,0.09732534213770955
engagement,20,10,161.45499999999998,51.374774668335256,0.085,0.06687467549246293
engagement,21,10,152.31000000000003,39.241119306722695,0.05,0.05773502691896258
engagement,22,10,162.74499999999998,45.79540521590446,0.085,0.07835106182362106
engagement,23,10,165.865,36.92250931944421,0.09000000000000001,0.07745966692414834
engagement,24,10,146.58,42.64425974136366,0.045,0.04377975178854565
engagement,25,10,160.265,57.6561601700595,0.1,0.12018504251546631
